,1. open,2. high,3. low,4. close,5. volume
2026-03-16,792.0,805.455,790.0,794.77,2082689.0
2026-03-13,789.36,798.0,780.5,782.21,2567411.0
2026-03-12,805.32,807.21,784.1,787.52,3533042.0
2026-03-11,829.95,832.8025,810.54,823.76,2236531.0
2026-03-10,834.68,846.09,826.35,833.81,1871901.0
2026-03-09,810.0,836.68,795.0,832.03,3258185.0
2026-03-06,816.0,827.16,801.33,821.42,2472991.0
2026-03-05,862.01,866.5243,822.2,835.46,3096912.0
2026-03-04,869.84,878.8,860.0,867.25,2081820.0
2026-03-03,836.0,868.335,824.64,862.58,3782323.0
2026-03-02,840.0,873.63,836.0,861.7,2873190.0
2026-02-27,912.0,916.25,854.1501,859.57,5552255.0
2026-02-26,927.76,938.39,921.5401,929.0,2220304.0
2026-02-25,914.72,922.51,907.52,921.38,1763623.0
2026-02-24,885.44,911.77,881.65,902.27,1971522.0
2026-02-23,918.5,932.0,883.7501,892.31,2535866.0
2026-02-20,912.55,922.37,900.57,922.24,2009290.0
2026-02-19,925.0,929.664,906.485,916.65,1974197.0
2026-02-18,921.58,947.6999,919.98,933.73,1864857.0
2026-02-17,907.73,921.55,905.68,916.04,2008475.0
2026-02-13,894.41,905.99,869.0,905.14,2623331.0
2026-02-12,956.17,968.39,903.98,904.55,3188714.0
2026-02-11,950.64,968.13,931.28,944.59,2654273.0
2026-02-10,945.7,961.83,929.93,948.99,3324939.0
2026-02-09,929.0,949.0,927.11,943.62,2322964.0
2026-02-06,907.87,931.77,907.23,928.75,2473247.0
2026-02-05,901.67,910.83,876.72,890.41,3214264.0
2026-02-04,937.12,944.1642,893.8,913.3,3561866.0
2026-02-03,949.5,964.5,919.06,938.99,2300747.0
2026-02-02,932.125,949.4444,912.08,946.33,1802012.0
2026-01-30,933.95,947.0,923.17,935.41,1893676.0
2026-01-29,937.3,955.38,925.13,940.12,2335849.0
2026-01-28,932.51,937.17,922.76,936.81,1674080.0
2026-01-27,924.0,933.4,920.39,929.72,2007433.0
2026-01-26,918.41,933.735,917.98,931.86,2655865.0
2026-01-23,934.08,937.19,917.05,918.88,3872606.0
2026-01-22,960.06,970.95,950.81,954.65,2468294.0
2026-01-21,944.0,968.92,943.45,953.01,2251250.0
2026-01-20,946.38,962.6,939.1,943.37,2620851.0
2026-01-16,973.0,984.7,957.0,962.0,3071631.0
2026-01-15,924.9,981.2599,924.67,975.86,3773730.0
2026-01-14,932.3,938.15,917.9,932.67,2513038.0
2026-01-13,947.32,949.94,931.0001,938.15,1969584.0
2026-01-12,934.0,950.56,929.1101,949.55,2180033.0
2026-01-09,938.77,946.14,932.7,938.98,1334087.0
2026-01-08,935.475,945.19,932.0,934.83,1961243.0
2026-01-07,956.88,958.25,934.0,941.02,2683338.0
2026-01-06,949.41,958.57,943.25,955.47,1965954.0
2026-01-05,914.4,961.69,912.6,948.44,3742022.0
2026-01-02,884.0,914.44,880.75,914.34,2817613.0
2025-12-31,884.1,886.0,876.79,879.0,1221740.0
2025-12-30,894.74,895.02,881.1801,884.42,1833267.0
2025-12-29,906.45,906.48,891.56,892.18,1577955.0
2025-12-26,911.0,913.3175,905.305,907.04,995328.0
2025-12-24,901.16,911.88,898.7,910.78,771780.0
2025-12-23,900.345,905.92,893.7,901.71,1210438.0
2025-12-22,896.52,905.48,894.84,899.0,1442332.0
2025-12-19,883.17,899.7475,881.951,893.48,4808303.0
2025-12-18,880.5,892.785,874.6975,876.3,2066338.0
2025-12-17,886.33,895.97,868.441,872.33,2213336.0
2025-12-16,890.23,896.24,874.32,879.15,2161603.0
2025-12-15,892.0,904.47,889.59,889.59,1976603.0
2025-12-12,913.75,914.99,886.99,887.96,2715200.0
2025-12-11,889.98,919.098,888.0,911.03,2682952.0
2025-12-10,871.35,897.1959,869.271,889.24,2394286.0
2025-12-09,866.0,883.721,864.31,876.58,2260751.0
2025-12-08,861.1,870.56,856.3001,866.69,2201101.0
2025-12-05,837.26,856.2,836.515,854.56,2277520.0
2025-12-04,835.535,843.99,834.5,837.83,1671014.0
2025-12-03,812.95,837.91,812.95,836.57,2347919.0
2025-12-02,811.12,819.7,808.3,815.21,2254578.0
2025-12-01,818.59,824.73,809.61,810.86,2133209.0
2025-11-28,820.0,830.57,818.95,826.04,868346.0
2025-11-26,805.84,819.58,805.0,816.01,1862897.0
2025-11-25,797.0,805.26,777.99,802.32,2253164.0
2025-11-24,778.635,793.99,775.3628,790.71,2319465.0
2025-11-21,776.83,780.37,754.0,774.03,2284742.0
2025-11-20,795.25,816.0,772.19,773.7,2598978.0
2025-11-19,776.3,787.87,775.0,785.99,1521113.0
2025-11-18,772.06,787.7,766.5446,776.3,1673456.0
2025-11-17,790.0,796.73,770.5,775.56,1850550.0
2025-11-14,795.55,800.61,778.0,790.91,2552397.0
2025-11-13,833.06,841.28,805.02,805.5,2557357.0
2025-11-12,814.13,840.0,814.13,838.97,2954130.0
2025-11-11,798.48,812.0,795.61,810.31,1521454.0
2025-11-10,796.08,806.36,788.8,797.2,1698196.0
2025-11-07,783.0,787.06,762.8,786.34,2098378.0
2025-11-06,794.0,798.2,777.0,787.58,1572510.0
2025-11-05,790.44,797.36,775.58,793.09,1721436.0
2025-11-04,777.0,806.0,773.0,790.83,2045978.0
2025-11-03,789.57,796.0,781.44,785.52,1569490.0
2025-10-31,784.98,791.7224,783.0,789.37,1328350.0
2025-10-30,783.56,807.14,780.6001,790.16,1829451.0
2025-10-29,788.0,800.49,778.82,783.06,2251507.0
2025-10-28,792.05,798.36,787.35,792.09,1242031.0
2025-10-27,789.0,796.7099,787.01,789.99,1645272.0
2025-10-24,759.85,784.61,756.0,783.88,2505628.0
2025-10-23,749.34,755.0,744.66,750.78,1615360.0
2025-10-22,760.61,760.61,743.11,744.6,2141448.0
2025-10-21,759.0,765.2999,758.27,758.98,1782194.0
